iter,train_loss,lr,mfu,dt_ms,tokens_seen
4870,3.6999,0.01237962,0.1001,2054.99,478740480
4880,3.9043,0.01235006,0.1006,2055.61,479723520
4890,3.5863,0.01232047,0.101,2057.15,480706560
4900,3.8641,0.01229087,0.0941,6823.66,481689600
4910,3.3308,0.01226124,0.0951,2052.96,482672640
4920,3.8954,0.01223159,0.0961,2054.99,483655680
4930,3.7118,0.01220192,0.097,2055.08,484638720
4940,3.9731,0.01217223,0.0977,2055.48,485621760
4950,3.8112,0.01214252,0.0985,2054.74,486604800
4960,3.6851,0.01211279,0.0991,2054.97,487587840
4970,4.1329,0.01208305,0.0996,2056.84,488570880
4980,3.6961,0.01205328,0.1001,2056.04,489553920
4990,3.8974,0.01202349,0.1006,2056.64,490536960
5000,3.4989,0.01199369,0.0936,7042.79,491520000
