iter,train_loss,lr,mfu,dt_ms,tokens_seen
4310,4.7386,1.314208e-02,0.0053,4555.28,141230080
4320,4.5309,1.311090e-02,0.0053,4568.46,141557760
4330,4.5365,1.307969e-02,0.0054,4567.71,141885440
4340,4.3337,1.304845e-02,0.0054,4566.39,142213120
4350,4.4283,1.301717e-02,0.0055,4556.72,142540800
4360,4.5326,1.298587e-02,0.0055,4561.30,142868480
4370,4.5864,1.295453e-02,0.0056,4562.50,143196160
4380,4.4441,1.292316e-02,0.0056,4569.48,143523840
4390,4.6618,1.289176e-02,0.0056,4552.77,143851520
4400,4.0821,1.286032e-02,0.0052,25718.80,144179200
4410,4.5103,1.282886e-02,0.0053,4577.13,144506880
4420,4.2683,1.279737e-02,0.0053,4553.76,144834560
4430,4.6232,1.276584e-02,0.0054,4575.01,145162240
4440,4.5865,1.273429e-02,0.0054,4544.97,145489920
4450,4.6007,1.270271e-02,0.0055,4554.79,145817600
4460,4.4053,1.267109e-02,0.0055,4566.47,146145280
4470,4.4636,1.263945e-02,0.0056,4540.69,146472960
4480,4.4384,1.260779e-02,0.0056,4572.37,146800640
4490,4.4997,1.257609e-02,0.0056,4550.22,147128320
4500,4.5127,1.254437e-02,0.0052,25803.95,147456000
4510,4.0662,1.251261e-02,0.0053,4561.52,147783680
4520,4.2306,1.248084e-02,0.0053,4556.52,148111360
4530,4.0297,1.244903e-02,0.0054,4567.03,148439040
4540,4.4962,1.241720e-02,0.0054,4560.64,148766720
4550,4.2001,1.238535e-02,0.0055,4564.76,149094400
4560,4.5472,1.235346e-02,0.0055,4546.69,149422080
4570,4.4457,1.232156e-02,0.0056,4549.95,149749760
4580,4.5763,1.228962e-02,0.0056,4533.69,150077440
4590,4.5478,1.225767e-02,0.0056,4544.45,150405120
4600,4.5820,1.222569e-02,0.0052,25721.51,150732800
4610,4.5843,1.219368e-02,0.0053,4564.72,151060480
4620,4.2108,1.216166e-02,0.0053,4570.51,151388160
4630,3.9208,1.212961e-02,0.0054,4555.04,151715840
